39,Sat Nov  5 21:11:58 +08 2022, ff02::1, c1:0c:00:00:00:00:0f:21,171,3200,2,1,266,2808,39, fe80::c30c:0:0:66, c1:0c:00:00:00:00:0f:23,8765,8765,14,26, -55 dBm,107,171,2681,6,-5,248,2774,21414
40,Sat Nov  5 21:11:59 +08 2022, ff02::1, c1:0c:00:00:00:00:0f:21,171,3200,3,0,267,2809,40, fe80::c30c:0:0:66, c1:0c:00:00:00:00:0f:23,8765,8765,14,26, -55 dBm,107,171,2681,6,-5,249,2776,21415
41,Sat Nov  5 21:12:00 +08 2022, ff02::1, c1:0c:00:00:00:00:0f:21,171,3200,1,0,266,2805,41, fe80::c30c:0:0:66, c1:0c:00:00:00:00:0f:23,8765,8765,14,26, -55 dBm,108,171,2681,6,-6,249,2775,21416
42,Sat Nov  5 21:12:01 +08 2022, ff02::1, c1:0c:00:00:00:00:0f:21,171,3200,1,0,266,2808,42, fe80::c30c:0:0:66, c1:0c:00:00:00:00:0f:23,8765,8765,14,26, -55 dBm,108,171,2681,6,-5,250,2774,21417
43,Sat Nov  5 21:12:02 +08 2022, ff02::1, c1:0c:00:00:00:00:0f:21,171,3200,1,0,266,2807,43, fe80::c30c:0:0:66, c1:0c:00:00:00:00:0f:23,8765,8765,14,26, -55 dBm,108,171,2681,6,-4,249,2774,21418
44,Sat Nov  5 21:12:03 +08 2022, ff02::1, c1:0c:00:00:00:00:0f:21,171,3200,2,0,267,2809,44, fe80::c30c:0:0:66, c1:0c:00:00:00:00:0f:23,8765,8765,14,26, -55 dBm,108,171,2681,6,-6,248,2775,21419
45,Sat Nov  5 21:12:04 +08 2022, ff02::1, c1:0c:00:00:00:00:0f:21,171,3200,1,0,267,2807,45, fe80::c30c:0:0:66, c1:0c:00:00:00:00:0f:23,8765,8765,14,26, -55 dBm,106,171,2681,6,-6,251,2774,21420
46,Sat Nov  5 21:12:05 +08 2022, ff02::1, c1:0c:00:00:00:00:0f:21,171,3200,2,1,267,2808,46, fe80::c30c:0:0:66, c1:0c:00:00:00:00:0f:23,8765,8765,14,26, -55 dBm,107,171,2681,5,-4,248,2774,21421
47,Sat Nov  5 21:12:06 +08 2022, ff02::1, c1:0c:00:00:00:00:0f:21,171,3200,3,0,268,2807,47, fe80::c30c:0:0:66, c1:0c:00:00:00:00:0f:23,8765,8765,14,26, -55 dBm,106,171,2681,6,-5,249,2775,21422
48,Sat Nov  5 21:12:07 +08 2022, ff02::1, c1:0c:00:00:00:00:0f:21,171,3200,2,1,267,2808,48, fe80::c30c:0:0:66, c1:0c:00:00:00:00:0f:23,8765,8765,14,26, -55 dBm,107,171,2681,5,-5,249,2774,21423
